Column1,Column2,Page Faults,Writes
gcc,5,22508,4675
gcc,10,16032,3245
gcc,20,9849,2098
gcc,40,7184,1926
gcc,50,6978,1959
gcc,64,6618,1986
gcc,100,6035,1967
gcc,256,5956,1760
gcc,300,5900,1669
gcc,400,6011,1598
gcc,512,6137,1456
gzip,5,39894,39841
gzip,10,39882,39839
gzip,20,39880,39838
gzip,40,39886,39845
gzip,50,39884,39845
gzip,64,39884,39845
gzip,100,39882,39844
gzip,256,39888,39847
gzip,300,39895,39845
gzip,400,39929,39854
gzip,512,39916,39848
swim,5,21001,2176
swim,10,5328,1775
swim,20,997,373
swim,40,752,289
swim,50,689,274
swim,64,601,242
swim,100,585,254
swim,256,560,250
swim,300,559,247
swim,400,569,252
swim,512,579,256